Date,Temp High,Temp Low,Rain level (inches),Collision Count
10/12/2016,71.29,57.0,0.0,139
10/13/2016,75.69,60.18,0.0,152
10/14/2016,75.35,61.89,0.001,163
10/15/2016,75.26,65.7,0.0,151
10/16/2016,73.44,63.4,0.0015,142
10/17/2016,71.83,58.23,0.1635,180
10/18/2016,76.05,59.64,0.001,168
10/19/2016,90.26,67.23,0.0015,161
10/20/2016,95.43,66.27,0.002,173
10/21/2016,91.31,61.1,0.0,180
10/22/2016,84.95,62.58,0.0,160
10/23/2016,79.84,64.61,0.027999999999999997,131
10/24/2016,73.67,58.22,0.057,144
10/25/2016,75.65,59.7,0.0015,152
10/26/2016,78.28,62.38,0.0,169
10/27/2016,81.32,65.32,0.0,144
10/28/2016,76.77,61.71,0.0345,149
10/29/2016,80.8,65.07,0.0,147
10/30/2016,66.67,57.01,0.0915,149
10/31/2016,69.18,55.92,0.0035,166
11/1/2016,68.77,54.4,0.001,166
11/2/2016,79.67,64.35,0.0015,147
11/3/2016,85.67,60.87,0.0,162
11/4/2016,82.23,59.42,0.0,184
11/5/2016,82.5,57.89,0.0025,159
11/6/2016,75.58,58.34,0.001,166
11/7/2016,80.13,60.12,0.002,154
11/8/2016,90.67,68.62,0.001,155
11/9/2016,93.17,66.32,0.0,162
11/10/2016,89.97,63.96,0.0,186
11/11/2016,86.92,62.67,0.0,157
11/12/2016,83.17,61.54,0.0,140
11/13/2016,87.81,61.73,0.0035,130
11/14/2016,86.82,58.04,0.0,165
11/15/2016,78.41,56.68,0.0,173
11/16/2016,69.58,52.97,0.0015,156
11/17/2016,70.74,55.52,0.0,184
11/18/2016,77.58,51.5,0.0,184
11/19/2016,73.63,55.94,0.0105,150
11/20/2016,64.86,55.66,0.3185,178
11/21/2016,65.91,52.37,0.385,168
11/22/2016,69.31,51.2,0.0,154
11/23/2016,70.16,53.59,0.002,135
11/24/2016,79.24,52.37,0.003,106
11/25/2016,75.37,47.21,0.0,122
11/26/2016,62.34,50.11,0.4175,142
11/27/2016,60.54,46.48,0.033,100
11/28/2016,62.52,48.67,0.0,125
11/29/2016,68.23,47.39,0.0025,166
11/30/2016,66.6,49.6,0.0,156
12/1/2016,65.2,51.35,0.0,175
12/2/2016,64.08,46.78,0.0,197
12/3/2016,68.38,47.26,0.0,166
12/4/2016,71.73,49.33,0.0,146
